BIO-FILM ID,ANTI-BIO-FILM AGENT,MOLECULAR FORMULA,AGENT TYPE,TARGET ORGANISM,STRAIN,INHIBITION,STAGE QUENCHED,GROWTH MEDIA,REFERENCE ID,smiles
Anti-Biofilm_0360,Phenanthrene,C14H10,Phytochemical,Escherichia coli,ATCC 10536,0.75,Formation,Luria-Bertani (LB) Broth,25656290,c3ccc2cc1ccccc1cc2c3
Anti-Biofilm_0365,Undecanoic acid,C11H22O2,Phytochemical,Escherichia coli,ATCC 10536,0,Formation,Luria-Bertani (LB) Broth,25656290,CCCCCCCC(=O)OCCC
Anti-Biofilm_0370,Myristic acid,C14H28O2,Chemical,Escherichia coli,ATCC 10536,0,Formation,Luria-Bertani (LB) Broth,25656290,CCCCCCCCCCCCCC(O)=O
Anti-Biofilm_0408,Curcumin,C21H20O6,Phytochemical,Escherichia coli,ATCC 10536,0.52,Formation,Luria-Bertani (LB) media,24262582,COc2cc(C=CC(=O)CC(=O)C=Cc1ccc(O)c(OC)c1)ccc2O
Anti-Biofilm_1085,Subtilosin,C152H226N38O45S3,Peptide,Escherichia coli,O157:H7,0.65,Integrity,Luria-Bertani (LB) Broth,27914001,
Anti-Biofilm_1088,(5Z)-4-Bromo-5-(bromomethylene)-3-butyl-2(5H)-furanone,C9H10Br2O2,Algal extract,Escherichia coli,K12,0.507,Formation,Luria-Bertani (LB) media + 0.2% glucose,15470704,
Anti-Biofilm_1112,Indole,C8H7N,Chemical,Escherichia coli,BW25113,0.9167,Formation,Luria-Bertani (LB) media,18528414,N#CCc1ccccc1
Anti-Biofilm_1290,Naringenin,C15H12O5,Phytochemical,Escherichia coli,O157:H7,0.97,Formation,Colony-Forming Antigen (CFA) media or Luria Marine (LM) media,20163489,Oc1ccc(cc1)C3CC(=O)c2c(O)cc(O)cc2O3
Anti-Biofilm_1292,Naringin,C27H32O14,Phytochemical,Escherichia coli,O157:H7,0.5,Formation,Colony-Forming Antigen (CFA) media or Luria Marine (LM) media,20163489,OCC5OC(Oc3cccc4C(C1OC(CO)C(O)C(O)C1O)c2cc(CO)cc(O)c2C(=O)c34)C(O)C(O)C5O
Anti-Biofilm_1294,Neoeriocitrin,C27H32O15,Phytochemical,Escherichia coli,O157:H7,0.4,Formation,Colony-Forming Antigen (CFA) media or Luria Marine (LM) media,20163489,Oc1ccc(cc1)C3CC(=O)c2c(O)cc(O)cc2O3
Anti-Biofilm_1296,Neohesperidin,C28H34O15,Phytochemical,Escherichia coli,O157:H7,0.4,Formation,Colony-Forming Antigen (CFA) media or Luria Marine (LM) media,20163489,COc1ccc(cc1O)C5CC(=O)c4c(O)cc(OC3OC(COC2OC(C)C(O)C(O)C2O)C(O)C(O)C3O)cc4O5
Anti-Biofilm_1298,Hesperidin,C28H34O15,Phytochemical,Escherichia coli,O157:H7,0.02,Formation,Colony-Forming Antigen (CFA) media or Luria Marine (LM) media,20163489," 	COc1ccc(cc1O)C5CC(=O)c4c(O)cc(OC3OC(COC2OC(C)C(O)C(O)C2O)C(O)C(O)C3O)cc4O5"
